EventID	TotalHits	UniqueHits	Ratio
2374	175	84	0.48
2378	4418	1835	0.415346
2382	13	13	1
2383	534	49	0.0917603
2384	2814	1810	0.643213
2386	8112	999	0.123151
2388	11524	1952	0.169386
2392	2	2	1
2393	3122	871	0.278988
2395	170	24	0.141176
2396	30	30	1
2397	31	31	1
2398	807	115	0.142503
2399	178	178	1
2402	200	25	0.125
2405	765	93	0.121569
2409	199	31	0.155779
2411	2678	2394	0.893951
2414	24	24	1
2415	3087	1790	0.579851
2417	321	92	0.286604
2418	14	14	1
2426	118	50	0.423729
2430	2922	348	0.119097
2432	6293	3404	0.540918
2433	113	113	1
2434	90	12	0.133333
2435	802	802	1
2439	6976	2164	0.310206
2442	1146	1050	0.91623
2444	265	265	1
2447	2748	2043	0.74345
2448	15	15	1
2450	571	571	1
2451	3483	2241	0.643411
2453	358	201	0.561453
2458	3766	1668	0.44291
2459	4677	1444	0.308745
2460	15272	1889	0.12369
2461	13919	3380	0.242834
2464	677	677	1
2466	4318	3551	0.822371
2470	91	13	0.142857
2474	136	17	0.125
2475	4072	3622	0.889489
2479	3944	555	0.14072
2481	162	38	0.234568
2483	43	19	0.44186
2488	3820	447	0.117016
2489	496	74	0.149194
2490	475	109	0.229474
2492	44	44	1
2494	3208	801	0.249688
2501	737	689	0.934871
2503	1638	241	0.147131
2504	2839	1386	0.4882
2505	768	545	0.709635
2509	206	206	1
2511	678	389	0.573746
2512	22	22	1
2513	2186	1907	0.87237
2515	9283	1337	0.144027
2519	254	35	0.137795
2521	2524	258	0.102219
2524	45	15	0.333333
2525	48	8	0.166667
2526	5	5	1
2528	18	18	1
2531	181	181	1
2538	227	32	0.140969
2539	25	25	1
2547	16	16	1
2548	321	296	0.922118
2549	3497	831	0.237632
2550	19	19	1
2551	1069	149	0.139383
2553	1125	1125	1
2554	553	533	0.963834
2557	61	61	1
2560	335	335	1
2564	1920	1231	0.641146
2569	749	749	1
2572	205	27	0.131707
2573	7852	928	0.118186
2576	2550	1882	0.738039
2577	3337	370	0.110878
2585	999	123	0.123123
2587	883	723	0.8188
2589	6697	785	0.117217
2591	17	17	1
2592	401	53	0.13217
2593	14332	2290	0.159782
2594	20	20	1
2600	1226	126	0.102773
2601	526	447	0.84981
2604	58	58	1
2607	1031	935	0.906887
2612	347	92	0.26513
2613	4333	844	0.194784
2619	7241	1759	0.242922
2622	175	25	0.142857
2623	17038	3114	0.182768
2626	263	55	0.209125
2633	56	8	0.142857
2638	1246	1246	1
2639	1014	705	0.695266
2647	809	95	0.117429
2648	15	15	1
2650	370	292	0.789189
2652	176	106	0.602273
2656	224	32	0.142857
2658	419	199	0.47494
2659	9832	1500	0.152563
2663	230	100	0.434783
2664	73	73	1
2665	1145	921	0.804367
2667	129	129	1
2668	775	697	0.899355
2670	1937	1230	0.635003
2673	289	289	1
2674	1436	163	0.11351
2675	3378	527	0.156009
2681	12007	1254	0.104439
2682	737	256	0.347354
2684	34	22	0.647059
